"RefDes","Value","Pattern","Quantity","Name"
"C1, C2, C3, C4","200nF","CAP_0603","4","CAP_0603"
"OLED","","S4B-ZR-SM4-TF","1","S4B-ZR-SM4-TF"
"Res1, Res2","10K","CAY10-102J4LF","2","ResArray"
"S1, S2, S3, S4","","B3F-1","4","B3F-1000"
"U2","","B8B-ZR-SM4-TF","1","B8B-ZR-SM4-TF"
